Post,1Comment,2Comment
"I am a 48 year old man who works full time and cares for my partner who has both physical and mental health issues.  I suffer with depression and anxiety.
I usually take my meds and these keep my head up enough to function, but recently I have been very low, and unable to lift my mood and do the things i usually love.
I have dropped jobs at a seconds notice due to my mental health even if the day before i was enjoying the work.
Everything is down to me, housework, caring for my partner who refuses to take her meds because it means getting up, taking care of our dog and bringing in an income.
Because I usually potter on fine I have no support.
I am posting anonymously because I don't want to risk my partner seeing the post and making her worse.
I rarely get suicidal, very rarely, but can't shift this cloud over my life at the moment.","A worrying post sweetheart . Have you got anyone else, close to you who you can share a burden with? Partners family? I think you need to take some action for both your sakes.  Sending a hug x",Pm me please I am in the same situation xxx
,This was the cat that had been found knocked down and passed away 😔,Poor baby x
Thank you for letting me post on here. At the beginning of February I broke my foot and the isolation that it caused has had a devastating effect on my mental health. My 23 year old son lives with me but works full time . He was diagnosed with Borderline Personality Disorder in 2017 because of his father's actions . So because of this he and I are very close. This can cause an almost clingy attachment. . He is my only living family. Almost  4  weeks ago on Sunday we had a massive falling out and he left.  I have no idea where he is and he's refusing to speak to me .Despite me trying every avenue.  This is killing me. I've got the most horrendous anxiety and contacted my GP twice but won't give me anything.  I'm not sleeping and when I do I'm waking up drenched in sweat and shaking. I don't really have any close friends as I don't come from the area.  I'm beyond hurt but I'm heartbroken that others know where he is but I don't.  The anxiety is overwhelming and I've seriously considered ending it all twice this week but stopped myself.  Thank you for listening,I’m sure he will return,"Poor you, hang in there as things will get better. Your son I am sure will come back to you maybe not today but sometime as a son needs his mum no matter what. Try and stay positive and maybe link on with some mental health charity organisation as it’s difficult going through this on your own. ❤️🙏🏻"
"Morning everyone I'm a new member in the group. I've been suffering from MDD since 2017 been hospitalized 3 times and coming out of the mental ward again last week. I'm feeling worse than before and got more diagnosis mental and behavioural disorders,GAD, borderline PD. It's a long story but my ex husband and his mother stole my kids for a year now and they know I'm not working so I don't have means to go and get them. My family is know longer the same no one cares about anyone.",Most family members do not understand mental health sometimes we don’t understand it ourselves sometimes we have to take care of ourselves and do a lot of work to get better and put outside problems to solve when we’re stronger we’re no good to others if we’re not mentally stable,pray to your lord and ask him forgiveness and ask him to show you the right path and be positive and everythings be okay. look at me my ex hus put me thought hell and back and i ask my lord is Allah to forgive him and  of© turn is coming straight at him until this day come i have to be the victim until the truth out then. mentally is my ex hus needed mentally drinking everyday tell my kids that his heart is playing up that mean his turn coming soon 6 ft under were he belong put my life thought hell.
"I have recently ended a relationship with an old boyfriend that I got together with again. We were just FB friends. He lives in the city up north. I'm in the country, down south. Anyway, it seemed like my world had stopped. I prayed about it. Things are getting better for me. Prayer works. If things aren't going right for you, try prayer.🙂",Keep praying. Life is a roller coaster,"Prayer helps me, an always will
Life is an adventure you just don’t know where you end up"
"Any advice on getting an advocate for my son? He has a long history of mental illness, has a TBI, and receives SSDI. I don’t have guardianship or power of attorney. He had been doing great for a few years but I’m the last few weeks became very manic. We’ve had him at the crisis stabilization unit a couple times, and he had gone to two mental health clinic’s wanting to be seen but the first available appointment was a month or more out depending on the place. The last time at the crisis stabilization he assaulted a staff member and got arrested. He has been asking for treatment, we’ve been asking too and now he is in a jail cell. He hasn’t had any mental health assessment at the jail even though he and I have both requested it. That’s supposed to happen today. I’m so disappointed that calls to the police and our mental health services have been brushed off. I hope the person he assaulted is ok. It’s so sad and I’m a mess.","I can hear the despondency in your post - the sad reality is ALL these services lack resource. Help & support is in many ways a front, because there is no actual content behind the myriad of ‘workers’ & their often pretentious terminologies & institutional speak. Yes I am an angry guy underneath, because I have personal experience of Authorities/Organisations & Institutions & I see the way these structures keeps people perpetually sick. I have no faith in any of their ‘systems’ because it is broken to the core - EVERYWHERE ( not just mental health) - I hope you can find some power in the truth & the fact you have to find your own way - There is no real help - Please remember many of these ‘professionals’ have come from comfortable backgrounds, got their ‘Theoretical Book Knowledge Degree’. Middle & upper level Managers have only one true motivation - to keep their well paid positions, with their spacious detached homes in the leafy suburbs, where little Johnny & Susie go to private school - In time LITTLE JOHNNY & SUSIE will become the ‘EXPERTS’ as psychiatrists or directors of mental health services - WHAT KNOWLEDGE would they have of life at the sharp end - Workers who do it as a vocation WITH HEART don’t climb the managerial ladder & in reality have no power to change things. One worker may have 20 ‘service users’ hence, the ‘service user’ who needs help will get a once a month appointment - The only advice I can give is you have to grab your own recovery & find some mental health fellowships not dissimilar to AA or NA - The idea of one mental health sufferer with SOME RECOVERY helping another who isn’t so far down the line, is without parallel-because they have experience of wearing the same t-shirt as you - unlike LITTLE JOHNNY & SUSIE - We have to get real with ourselves & get honest - With that you can go a fair way 👍 Good Luck",Prayers Amy for Jeff and you!
How was your day today?,Really bad panic attack,"Pretty good, played LEGO, went for a lovely bike ride, won the family Zoom quiz 🏆"
,Cough,"Probably cry tears of joy, if I’m still alive 🙌🏼 "
Hi is this a closed group please ? People on my fb won’t be able to see my post will they ?,You can also post anonymously. 👍,"Probably not able to see.

Post it.
Then check your Facebook post timeline!"
"Nobody is giving me any worthwhile lengthy attention on Facebook at the moment. I'm discouraged. Sorry I'm pathetic, needy and clingy.","Have a
Sent you a message inbox","Problem is the post are all the same. 
You don't ask for support but complain loads about the lack of"
"Very very true 

Took me until I was 26 to realize this",Totally agree!!!,"Psychedelic shrooms healed me. I can't really explain it but my experience has been eye opening and spiritual. Also I micro dosed it really help me get rid of PTSD, ADHD, BPD, anxiety and depression, (Elizabeth_clarre1 ) on instagram she really helped me, She deliver quickly too.... Sending love ❤️"
"No judgements please as meds have not worked at all and no soliciting of all natural products. Unmedicated adhd, severely depressed teen with social anxiety in desperate need of help. He was just referred for outpatient but that requires daily commute which he refuses any and all appts now. I'm just lost, sad and can not live like this anymore. He now thinks he can do whatever,, whenever.  I'm just waiting for him to crack.  Please tell me this gets easier?  Tia!  I appreciate all your support and help.","Speak to your GP and join ADHD family groups online, and families linked to anxiety and depression. Volunteer work from home for them too as I know someone ADHD and it gets them out of the house. Walk to the shop or walk around the block, it's all starting small and building up","Psychedelic shrooms healed me. I can't really explain it but my experience has been eye opening and spiritual. Also I micro dosed it really help me get rid of PTSD, ADHD, BPD, anxiety and depression, (Juliet_emily34 ) on instagram or FB Juliet Emily she really helped me, She deliver quickly too.... Sending love ❤️💝"
"I feel so lost. 
Like I just shouldn't be here..
Like my times up. 
Calling it a day on life has never really been an option for me, but how many more times do I have to fight this?",Thanks guys!!!,"Psychedelic shrooms healed me. I can't say I did it my self  but my experience has been eye opening and spiritual.
Also I micro dosed it really help me get rid of anxiety and depression, 
(MYCOJOSTLE) on Iñstagrãm really helped me
He delivers safely"
"How do I move on from my past trauma? Everyday I feel depressed , numb and emotionally hurt.","I think the key is forgiveness.  Forgive those who have hurt you and forgive yourself.  Forgiveness is not about the people that hurt you, it’s about you loving yourself enough to let go of the pain and hurt they caused.",Put it behind u and work towards better future only u can do it
,Brilliant but I have a school yr9 and yr13 and they both know their computer technology. My biggest problem is getting them to make themselves a health lunch. But I’m fully aware this is not the case for everyone. ,"Quite hellish... Two children each remote learning, running between rooms all day, frantically login on to various platforms to print additional material... I think we will commit to 3 or 4 days remote learning... Our metal health I don't think could do more."
I'm so peeed off right now last Friday i had a phone appointment with the mental health team today i get a letter from the mental health team telling me that they have referred me bk to my doctor 😡 so I rang my gp ( doctor ) only to get told that I have to call tomorrow at 8am I'm going to ask for a call bk from the gp I'm not sure what the gp can do tbh bcus the last time I spoke to my gp all they cud was refur me bk to the mental health team.,Tbh I've had similar experience with my local mental health team. Did they say why you were referred back (possibly for medication),R....
"Mental health is vital. It's as vital as your physical health. I'm tired of the stigma. Everyday I fight to live. Giving up is easy. My better half and kids I fight for. Nothing is as hard as battling your own mind. Every single day is nothing but a fight. I have attempted many times but I guess God is not done with me yet. Bottom line, keep fighting no matter what. I know it's easier said than done.",I can't give up altogether though sometimes I think I might one day in the future but will do utmost like you. My husband needs me and I still have good days and have interest in many things. It is other people that let me down and make me feel low. Glad you are fighting and realise that everyone has a valid and valued place.,Randy Leverette you have a right to vent don’t hold it in or you will end up stuffing and one day having a nervous break down that’s what happened to me you can try therapy which helped me totally write in notebook I found a book by Joyce Meyers it was a devotional you read every day it coves some mental health areas and some scriptures￼
"Looking for some help or advise or someone to talk to please. To cut a long story short i got mental health problems after I lost my kids, I lost my eldest to his dad and then my 3 other kids got taken of me and then placed in the care of their dad after care, I am left with no kids or any help as to why I can't have them, I am not a bad person or a bad mum and have struggled on from this day on, it's a more complex confusing story but I just dint understand and I see my youngest 3 now which has changed my life for the better but I am still walking through life with not 1 out my kids in my care. I want all 4 of my children.","Visit a shaman, I use to have this feeling until I linked with trin_cure on in$tagram, he’s a big shaman and supportive shaman, go and talk to em about your fears and problems,he’ll recommend something for you",Reach out love - I’m here for u
"Guys, I been going through some high level of mental torture from my wife who helped me to get the green card here in states. Recently, I called my elderly parents to visit me here with her permission since l haven’t seen them in last 4 years and they are going through the same treatment. Please I need help to understand how I can report this. I don’t want to take any adverse action against her but I need help to protect myself. We have a joint ownership on a property in Florida where we live and I don’t know what will happen to that. At this point I am ready to give up anything to get some relief. We have no kids yet🙏🏼",I don't get what it is your reporting ?,"Reach out to @LINS_TRIPS420 on Instagram, tell him you feel and wait for his recommendations and guidelines he’s the best"
"**Potential TW suicidal thought's**

What keeps you all going? .I have been trying to keep going for over 50 years of my life, always been pushed away as a child and adult, it now comes down to I have done everything that I wanted to do in life, had kids, got grandkids, been on holidays were I've wanted to go to. My bucket list is now empty, I feel as there is no reason to get up to just stay at home, before people say about my kids and grandkids, to do what the same things over again. My family also struggles to keep in touch with each other.",If your kids and grandkids aren't enough I don't know what anyone can say. Some don't have that. You are blessed,"Reach out to bryson_heals on Instagram tell him you have anxiety, depression or ADHD PTSD and wait for his recommendations and guidelines he's the Best"
"Its been about 2 weeks since i posted on here, i still struggle and don't know whats triggered it yet it's at a poi t i don't want to leave the house and do know what to do","im like that sometimes, if you deliberately only get small things in the shop you have to go out for more. it sounds awful, but it gets you out for fresh air and clears your head","Reach out to dosing_caps on Instagram, tell him your current situation and wait for his recommendations and guidelines he’s the best"
I need someone to talk to asap,how u doing ?,Reach out to me. I won't say I have been there because our lives and experiences differ. But I can listen and try to understand
I sometimes wonder what is the purpose of being here there must be more to life than this. Even at it's finest Life does not seem like such a great deal even when everything is going great it still seems to be a burden. I sometimes think life is just meant to be hell and to get out of this hell you have to motivate yourself to do things that lessen the hell. Sometimes you cannot even do this no matter how many plans and adjustments you make in your life to take out all the negative stuff there is always a third party to affect your vibes usually in the negative way. Very few people interacting your life in a positive way sometimes this is hard to admit to and see. We want to believe our family friends and the people that we interact with have got our best interest but I feel this is not true.,"I know exactly how you feel! I have no advice, but I think when I am going through a depressive episode, everything that you said seems a lot worse. When I am feeling so negative, if possible I try to remind myself it will pass. Sometimes it takes a while. Good days and bad and sometimes it sucks. 
And no offense to anyone, but religion and weed don’t do it for me.","Reach out to myco_davv on instagram, tell him you have anxiety , depression or ADHD and wait for his recommendations and guidelines he’s the best Raman Nijhawan"
"You know what? 

I am done 

I AM DONE trying to impress people around me 

Take as whatever I am done 

Ye if I’m a burden or a regret or whatever negative to them 

THEN I AM 

I AM SO DONE 

IM DONE GIVING MYSELF PHYSICAL BODY PAINS my muscles still hurt from last night’s meltdown 

So who cares if I’m unliked or unloved? Big deal 

I’m not gonna put efforts because of this person I know in real life 

They don’t even care for me 

The way they treat me is like they want me to morph me into their clone 
To be submissive 

To obey them 

Uh ye no 

I have a personality 

SOOOO 
THINK HOW YOU WANT OF ME I AM DONE 

I shall enjoy daily to the fullest 

I shall recover from surgery and make two months and onward stress free 

I am done caring how others perceive me 

I’ll get and do what I want

Oh my god that felt good to write ima also add this to my journal but idk online feels different cause I’m writing to an audience",Never worry about impressing people. They don't deserve it. True friends will love you as you are.,Really 🌺🌺
How are we all today?,All good thanks. Hope you are well x,"Really good, it’s been a bit hectic, so having a pamper evening... so relaxing 😴"
"I've just wrote a song called ""My Demons"" which i know the majority if not everyone in this group can relate to 🎵🌍 Theres alot of people you can talk to if you ever just need to just open up. Dont feel like its a weakness to admit you need help, stay positive my fellow sufferers. 💪❤️
",Great track  thank you for sharing 👏👏👏,Really really good. 
"When i am in a mood I miss my father,  yet i know things will never change, he will never be the father i dream of or crave. Yet lately ive got to a poont that i realise that he doesn't care,doesnt want a relationship, he doesn't want to put the work in, he doesnt want to have a daughter that needs him, doesn't want to have someone that needs him,  someone that has been told by him that my mental health, selfharm where the reasons he threatened to disown me when I was 16, 25 now and the stuck. That hit like a tone of bricks. Ive never had a bond, never felt close that i can talk, that i can open up and let out my emotions thorughts feelings,  there are times where i wish i didn't let myself hope that he will change.  Having him around so close yet feel like he is the other side of the planet,   it hurts.  Currently curled up in one of his jumpers i stole from my younger sister,  wishing we had any chance of any kind of relationship.  i hate how he makes me feel.  Yet he doesn't even know it.","Disappointed love is devastating,  but try to remember he's the one that's not capable of having a relationship, evolving, or making any effort to move forward. Being the better person is hard, but worth knowing you tried your best regardless. 
My dad used to say we were all a mistake and he never wanted kids but he had 6 kids... eventually I stopped having any expectations of him as a father and was free of the disappointment. 
When I became a parent I made the effort to develop a sort of friendship with him, mostly for my daughter to have a sense of family. I found that I could appreciate him far more when I had no emotional expectations of him as my father but just accepted him as the person he was... before he passed away he thanked me for making the effort and letting him into mine and my daughters life. 
Letting go of expectations isn't easy at first but worth ridding yourself of the torment of years of disappointment.",Really sorry to hear that.  My dad was very bad man. Never really had a dad
"Thanks for letting me join I'm really worried about my son he's suffering 😢 with mental health issues 😞 and I'm really worried I feel helpless he's in his 30s ,he's had 4 relapses and I feel 😢 he's getting worse....carole","I have been struggling with both ADHD and CPTSD  for years it's been hell but I got introduced to micro dosing and I got off all my medications by slowly tappering and didnt need therapy anymore.got recommendations from michael_tripyy  on 
 instagram.","Really worried 😟 rang gp he's not answering anyone ,or wants to see anyone he jus wants to sleep, it's jus heartbreaking 😢 💔 he's got his whole life 😢 ahead of himx"
What is something you do for self-care?,"Going for a walk, bubbles baths, manicures, pedicures, naps, doing hobbies you enjoy","Recently if your looking for a place to get your microdosing capsules or salvia plants, mushrooms or psychedelics for your ptsd anxiety and depression i would recommend you look up tripping_to_heal on instagram 
This is the fourth time his coming through with some some stuff for me so decided to share him 
Thanks"
,"Good Thanks, lost 1 1/2 lbs at Slimming World today",Recovering from tabata
What's best way to cope with a partner who is suffering with paranoia because I'm struggling,My partner had this years ago but it was the drink doing it to him but I have not seen it again recently. You may need to reach out to family or a support worker. Sounds like she is in a crisis.,"Relationship scare me, I always end up feeling insecure"
How has your Sunday been?,Unproductive and frustrating,"Relaxing and reading a fiction, finally 🌸"
How was your day?,Good thanks for asking went for a walk in rain enjoyed it very much just relax was going to watch TV but it won't work never mind so just have a game of free bingo X ,Relaxing at home
,"Stood and thought about my grandad today, He never spoke about his time in the Navy (my mum said it scared him to much) he was a gentle soul. Also got lots of Sunday odd jobs done. Kids have been in good spirits so means my day has been very normal but happy day. Saw you done the soup run today 👍🏻",Remembered family lost through battle 😔 x
"wonder if anyone could give me any advice...my mum has had mental health problems for along as I can remember....as a teenager she used to walk around the house with scissors and knives in her back pocket 
The police have been called on multiple occasions for disturbses her walking around the streets on her nightie
My dad drank and it always got brushed under the carpet and ignored.
Sadly 5 years ago we lost my dad and i look after my mum 
Cutting the story short the last 5 years she's been attacking me throwing plates cups and other things at me she talks to herself saying very disturbing things 
Monday she came at me with a knife and sliced my hand.i know I should of called the police right away but I just ran
Since then I have reported this to the police but told me unless I press charhed against her they can't do alot and told me to go down the mental health route 
I have contacted the mental health crisis team they have told me they will try contact her via phone call   social services won't do anything 
O have contacted her gp and they won't talk to me without her authorisation 
Is their any other way I can get her help? I can't keep getting verbally and physically abused putting myself or my children's life in danger","I think your priority has to be ensuring you and your children are safe. You can not be putting yourself, and your children in potential danger. 
I know that will be hard, but it’s vital.
You do need to call 999 if you, your family or she is putting herself in danger. 
Can you keep contact and support via phone, video calls etc? 
I take it from the way you have written this that she doesn’t want to seek help for herself? It’s really hard if she doesn’t want to get any help or recognise that she requires it. 
What does she say when you talk to her about getting help?
Is she willing to call the doctor while you are there for example?",Ring 999 and keep ringing them until they do something.
"When people would rather avoid you that tells me the world doesn’t want me , I have no skills, I can’t do anything and I have no friends . I’m sorry I’m alive just now.","How long have you been feeling like this?  Make an appointment with your GP to help. They are great listeners.  Is there something deeper troubling you?  
What are your interests?   
Skills I can see right here.  Your great at writing including spelling etc.",Rob no matter what we all say you will feel the same . My advice is to remember you are a person that has lots to give . Don't ever give up and show the world who Robert Turner is
,Okay,Rocket faith
,Bsby sweetcorn,Roses from my mum and sister when I passed my MSc
"Hi all, been told some of my issues may be down to menopause im 46 biggest issue for me is my sleep not managing any more than 3hrs a night im so exhausted, as anyone any advice, tips or general comments please?","It's might be hornanal changes but you can manage your sleeping routine through regular exercises,","Roxy, I am at menopause too and I struggle in many ways, but what you describe sounds like insomnia and there might an underlying cause to that. xx"
"How many people have family and friends they don't talk to anymore?
Me both parents died in the 90's my mother in 1990 age 42 my father some time later in the 90's I'm not actually sure about my father tbh I've 3 siblings and I'm the oldest i no longer talk to them hell I've not seen them in a very long time the last time I saw my sister was in 2009 and I'm kool with it here's why we don't talk it's because I'm trans i came out as trans in 2007 after keeping it a secret for decades the family knew when I was a child but this was waaaay back in the 70's when I came out i was going to call myself Rikki victoria because my dead name was Rikki anyway but people kept saying Rikki isn't a girls name but it is so i went with victoria raven instead but people just call me V or Vic do I miss my family fk no why because I still have my daughter.","Last year I tried to support mum through her mental health they responded very strangely, the contact was weird,so I've stepped back because I realise the contact they were making was fake, still a bit raw ,getting my head round it. Hoping mums doing ok. Been told that so have to believe, while looking like the bad daughter.","Rso is the natural way to cure anxiety & depression, I used it to clear my anxiety.
Look up dan_vrivk on Instagram.He’s legit and ships to any location."
"I can't take this anymore, no one understands and just expects me to be normal, have a normal life and have the future that was planed but I'm really unwell but it's not acknowledged cos it doesn't show and so I get pressured to be just who I was before my health problems started.

They can't see cos my autism doesn't allow me to show the horrible pain I'm in everyday, they can't see my vision loss, they can't see my restricted movement, they can't see the persistent tiredness that turns to exhaustion so bad anytime I do something I have to sit or lay down for an hour to get enough strength back to do something else, they can't see any of it so don't believe it's as bad as I say.

Doctors can't find what's causing all this so it's not seen as it no one can explain the cause and cos it's not seen or explained due to a diagnosis that litrally means we don't know what causes these symptoms  I get no help or support just pressure to be normal like I was, despite just getting dressed exhausts me meaning i have to sit down to recover, muscle weakness and pain that makes picking up or carrying anything feel like my arms are being torn off along with horrible intestinal  problems causing me horrible pain and now it turns out malabsorption as I'm not absorbing vitamins and minerals from my food and food supliments aswell as many other health issues none which the doctors can explain or understand the cause of.

So I am not seen not understood, not helped, not supported just pressured to be healthy and normal, get a job and keep it despite my physical health and autism meaning I always get forced out as I'm unable to do the job so I get laid off on health grounds within 3 months of starting and without a job all my plans for me and my wife's future are ruined yet she can't see any of this either and also just pressures me to build the future I promised before I got sick but I don't know how, everything is ruins. 

Ruins I am let sat in alone unseen, not understood not helped not supported and I can't take anymore I just want to go!

Please note I'm too much of a coward too scared of more pain and don't have the physical ability to do anything all I can do is vent.","Venting is a good a source of relief and there’s so many people on here in your shoes. 
Your not alone. 

The dark will pass eventually 🥰 xx",S
"Please can you help or recommend?
Any tips to help anxiety and panic attacks ?
Is there any herbal pills to help along side medication that doesn’t seem to help much? 
Thank you it’s not for me it’s for a desperate friend !",Regarding your meds go back to your doctor and say they not working..I did and now feel much better. Go for a walk..when the weather's better obviously:-),Saffron and ashwagandha are good
Where do you go for help to support someone who is suicidal and rock bottom ? No local numbers pick up?,"Text support 24hrs a day is Shout, worth a try",Samaritans ?
"Hey everyone. I'm having a bit of a bad day today, I have people who i can talk to when I'm feeling down but I don't feel like I want to bother them with this today, where do I reach out when I feel like this?","You message me, no worries 👍",Samaritans and other mental health charities. And post here. I would be interested in what you want to talk about
😭😭😭,Please talk to us.,Same
My mental health has cost me me everything,Same,Same
I can't do this thing called life anymore. I'm DONE!!!!!!!!!!!!!!!!!!,Why do you feel this way hon? Please talk!!  I often feel This way it’s soo bloody hard!  Always here!🫂🫂,Same
It I had one wish it would be my partners mental health be healed I don't care about my health only my partners 💯💯,My partners health was worse than mine.,Same here but it was a lost cause.
"I just got broken up with last night and I’m going through a lot, I don’t know what to do. He blocked me on everything so I went of my way to text him on life360 and he said ”I love you but this is what’s best, goodbye” and I texted him on text now and we are barely talking I just want to have a conversation with him about this because he just left me out in the dust with no explanation. I know it’s because of the way I take things but i just need to know how to cope, someone please help me. We can chat and I can go into more detail but please my world is falling apart.",I'm going through same dam thing I'm lost out here no friends my kids don't really talk to me cuz I have pushed them away to,"Same here, we were so much happy when he left to PH last month but he got there and stop calling or picking my calls.
I lose it completely."
"I am so annoyed I hate humans so much 

Basically this keeps happening to where I get excited about stuff and people try to dim my light down 

She’s like suppose to be my friend too 

Over 27 years of my life people had fall outs with me for that reason

YOU GUYS ARE NOTHING BUT LEECHES 

I AM DONE WITH PEOPLE 

I try to trust them but then you all do this 

I can’t trust anyone!!! Ugh","I’m with you on that one. All my creative friends make great things and I was happy promoting them.

I then started following my dream of being an author and have written some books that have done well on Amazon.

They all wanted freebies, got angry when I said no, and said I was selfish for doing my own work. It’s weird. People all want you to do things for them but when you do your own thing, not a sound save for judgement.","Same way love, I'm in my 40's now. It has taken me a long time to embrace this superpower....just remember you are someone's light....even if it was to a stranger...keep shining and never apologize for being you 💜💜"
I feel like so many people would be better off without me. I'm just a burden,Always remember that your 'depression thoughts' aren't real. They are just put there to make you feel bad. To make you feel worthless. Your depression mind needs you to believe these thoughts are real. I know it feels like they are but they aren't real. Just know you're not alone feeling this way. Probably most people in here feel the same. But those thoughts aren't real. Just depression thoughts. You can get through this.,"Same, I think that nobody will ever see me as the person I've become, just as the mess I was."
I'm really struggling at the min don't think I can do much more it's one thing after another,Same thing with me! I’m sorry you’re going through this. Sending prayers and hugs ❤️,Sat here in tears thinking I could just end it all an then they will be happy I'm not strong enough
"I hope this message finds you well. I am looking to expand my social circle and make some new friends, tired of being alone all day and it really make me feel crazy. I understand that making new friends can be challenging, but I believe  that there are many wonderful people out there who I would love to get  to know. If you are open to making new friends and share some of my  interests, I would be thrilled to hear from you.",hope u find new friends and u can always msg me if u wanna talk ! wish u good luck,Sat on my own most days and nights with this fellow
"I need advice as I can’t decide what to do and my brain goes on loop with thinking stressing me out 

But what would you do if someone was being toxic to you non stop ?
Only sharing bad stuff going in their life like I get it we all have stuff but the point you do it so much when you drag others away there’s a limit 

Or controlling you what to do? Or what games to play or be mad when you don’t do what they reccomend 

Cause not gonna lie nothing makes me more mad when people tell me what to do 

And yes I have addressed this to the person many times however they’re not listening 

Well the obvious answer would be get rid of them the thing is I did back in 2018 I’m pretty sure they reached to me on a social media it’s how we rekindled our friendship but deja vu is happening 

And besides that they’re fun and funny and when I think of losing them it kind of hurts since we been friends for a very very long time 

I get people change but stuff change but I don’t know 😕 

I’m so close into ghosting them without words cause I’m so drained but I don’t know",Choose yourself hun. It's either have positive conversations that you can do something about or it's just a vicious negative cycle and explain you aren't in a place where you  an be in that cycle. Make a good life choice about the things going on or don't talk about them. We all need a good rant but it has to call a day eventually and have other conversations of much more worth. Wishing you all the best. Take control of your own life,Say no sometimes. Keep your door locked. This person is too demanding. Perhaps arrange to see her once a week and no more no matter what. You have to exert some control over your life. Be busy.
Morning all. Just a small question as such. My girlfriend of 3 years has decided my mental health issues are my fault and it's why our relationship will discontinue. We are in our 40s and both have children from  the previous wedding. I am not sure she had the right attitude.,"Also, I am shouted at a fair bit which my children witnessed and they have not seen her for a year or spoken to her anymore",Saying that 5 weeks ago I had my children on the weekend as normal my 2 came with me to get my car. She was very hostile towards them and again shouted at me. The irony is I am still with her as if I am afraid to leave
Spiritual health is so important to your mental health It's important to Find your Own balance between the Scientific side of things and the side with all the meaning..the spiritual side .,More importantly it's balancing in knowing who you can talk too on spiritual levels and most people you can't maybe why your own space is important it's your feild of creation,Science tells me I will be on dialysis in two years the spiritual part tells me my kidneys will get better and the rest of my health will get better ￼God already cured of high blood pressure I no longer take heart medication thank you Jesus
"Everytime i think of my company my stomach scrambled and make me go to comfort room.I think i have a severe anxiety, this happen almost 2years. I identified the source of this feeling but very dificult to get out of here.What should i do?",Anxiety courses,See your GP.
Hi is anyone free to talk 🥺,"I am, what’s up? Send a DM",Send a request and a DM
"When my 18 year old cousin came round to our grandparents,  one look at her ever growing belly,  she's pregnant,    i think i wish i could have a partner,  have a baby.  Have a life,  struggling with the thought i will never get to that point in my life, mentally, emotionally,  or even have a girlfriend.   

But that's the least of my concerns.","Travel while your young it’s the best way of learning who you are you can get work placements . Your a long time older with responsibilities. Get out there , there is so much to explore xx",Send me a message!
I'm not liking the new meds I'm on the side effects are all over the place at the moment a few hours ago i was twitching for no reason then shaking thankfully I'm ok now just have a bit of a headache.,"Victoria Taylor  hi Victoria, did the information leaflet that came with your medication mention anything about the side effects that you have experienced?  X",Sending hugs  x
Hi I really need someone to talk to who’s going through the same things as me I feel so alone and could really do with a friend one who understands if anyone wants to talk please message me xx,🖤,Sending hugs hun
"REALLY MISSING my mom today. Alot is going on today and I am not dealing well, I never realized grief comes in waves, 90% of the time I am fine, then something triggers me, a song, a smell a person, and suddenly I know she died And I won't ever be able to talk to her again! It becomes impossible to do anything!",Grief. It is hard to overcome. I am going through a similar if not sane experience.,Sending love
So for the past few days my anxiety has been playing up and i don't know why 🤔 it's been happening in the evenings and i don't do anything for it to do that i don't go out anywhere bcus going out in the morning is enough for me i think it's bcus I'm running low on meds and I'm hoping that it doesn't happen once I've got my meds as i put in a new order this morning wud of done it tomorrow but bcus i don't always get up early i normally get up round about 10am but was up early this morning bcus i couldn't take the amount I was meant to take I'm meant to take 250mg's of quetiapine but I'm running low and i mean low i just hope that i don't have to wait to long.,Hi sorry to hear your suffering its hard l know cause l have severe anxiety l take 60mg of antidepressants. DOES YOUR MEDICATION WORK PLEASE MIGHT ASK GP ABOUT IT. THANKS,Sending love
"Hi guys. I have benn going through really hard times for few years due to my son's health. Lately it is even worse because of other factors too. I have never been on any meds, but I feel I may need some help now as I lost the will to live with all the problems I am facing. Do you think there is a herbal alternative to prescription meds I can try first. I am fed up of feeling so low all the time. Thank you",St John’s wort tablets are meant to be good.,"Sending love 
I know how you feel I once had same experience but with the help of michael_tripyy on Instagram I got gummies which helps my kid and also got microdosing tips for my self you can reach out to him for help"
Really don't know what's up with me tonight just feel very lonely just wish i had somebody to snuggle up on the sofa and watch a film with 😥😥,"So sorry u feel like that Adam, here if u need a chat",Sending love ❤️
Anyone have tips for stopping a panic attack?  It feels like it has been going on for a long time.,That's a good question but unfortunately I have know clue myself apart from wen it happens i just play video games,"Sending love ❤️ 
have you tried Microdosing? 
It involves taking natural substances like mushrooms not to trip but to help improve mental health/self esteem and also give relief from issues like ADHD,Autism,chronic pains,Bipolar,PTSD,depression,anxiety and other mental disorders. (MYCOREEG) on Instagram gives the best guidance and products
Highly recommended"
"I need help, love and heart break has made me so depressed, I feel like taking my life.",I know the feeling!,Sending love ❤️ And i know the feeling. Add me up for that
I can remember about god knows wen before my mental health went all over the place i used to be happy go lucky and laid bk at the same time i miss those days 😔 bcus now I have to put up with voices which isn't gd especially when they pretty much stop me from doing anything like being around people for to long.,Yes I'm interested in you can you send friend request,"Sending love ❤️.
Don't let your mental health get the best of you.
I can relate, the last 2years of my life was horrible, I take micr0dosing capsules, it really helps with my mental health issues I haven't had a bad day in months 😀 feeling productive like before. (AMESHEALS) on Instagram is the right person to meet for help"
